grid_id,lon,lat
G5294,90.22978061509892,23.652073588983786
G5411,90.23467766485692,23.65216108137167
G5529,90.23947999889724,23.65675950020036
G5412,90.23458275802426,23.656672143547528
G5295,90.2296855407215,23.656584632481717
G5058,90.22017733429098,23.642876120032927
G4942,90.2151851608975,23.647299195314968
G5059,90.22008197221385,23.64738713204959
G5176,90.22497880721791,23.64747491444607
G4943,90.21508960764027,23.651810185569722
G5060,90.21998658644902,23.651898141079812
G5177,90.2248835889491,23.651985942218833
G4944,90.21499403065017,23.6563211728363
G5178,90.22478834703054,23.656496967005918
G5061,90.2198911769929,23.656409147123114
G5530,90.23938523608422,23.661270578038774
G5413,90.23448782762136,23.661183202739707
G5296,90.22959044273232,23.66109567299473
G5531,90.23929044973897,23.66578165289427
G5414,90.23439287364467,23.665694258947738
G5297,90.22949532112776,23.665606710522354
G5532,90.23919563985788,23.670292724766362
G5415,90.23429789609057,23.670205312171127
G5298,90.22940017590423,23.670117745064093
G5533,90.23910080643739,23.67480379365459
G5179,90.22469308145864,23.661007988806826
G5062,90.2197957438419,23.660920150178985
G4945,90.21489842992365,23.66083215711421
G5180,90.2245977922298,23.665519007621107
G5063,90.21970028699239,23.665431150246985
G4946,90.21480280545705,23.665343138402992
G5181,90.22450247934044,23.670030023448252
G5064,90.21960480644078,23.669942147326605
G4947,90.21470715724682,23.669854116702147
G5065,90.21950930218348,23.67445314141737
G5881,90.25407760250003,23.661531777230632
G5647,90.24428266807934,23.661357798888925
G5764,90.24918012356513,23.661444865287205
G5648,90.24418804936909,23.66586889235896
G5882,90.25398331907051,23.666042907830914
G5765,90.24908567249346,23.66595597733883
G5649,90.24409340716458,23.67037998284683
G5883,90.2538890122299,23.670554035451506
G5766,90.24899119796912,23.67046708640953
G5650,90.24399874146226,23.67489107035206
G5884,90.25379468197461,23.675065160091926
G5767,90.24889669998853,23.67497819249883
G5651,90.24390405225856,23.679402154874168
G5885,90.2537003283011,23.6795762817517
G5768,90.24880217854813,23.679489295606242
G5652,90.24380933954987,23.683913236412696
G5886,90.25360595120581,23.68408740043035
G5769,90.24870763364436,23.684000395731307
G5887,90.25351155068518,23.688598516127385
G5770,90.24861306527366,23.688511492873516
G4824,90.21038407028566,23.642700129809906
G4825,90.21028837331039,23.647211104245205
G4708,90.20539160949406,23.647122858843304
G4591,90.20049486949002,23.647034459112277
G4592,90.20039881377717,23.651545392843055
G4709,90.20529572126279,23.651633811448335
G4826,90.21019265256432,23.651722075691563
G4593,90.20030273420684,23.6560563235819
G4710,90.2051998092156,23.656144761062684
G4827,90.21009690804388,23.65623304414849
G4239,90.1859013269246,23.642257454068954
G4240,90.1858047927672,23.64676833397466
G4357,90.19070146108506,23.646857196674922
G4474,90.19559815333984,23.646945905055144
G4241,90.18570823463133,23.651279210885136
G4358,90.1906050704199,23.651368092558428
G4475,90.19550193014904,23.651456819878746
G4359,90.1905086558142,23.655878985447483
G4476,90.1954056830592,23.65596773170916
G4242,90.1856116525134,23.655790084799904
G4009,90.17572077671022,23.660122653227862
G3892,90.1708236779484,23.66003327036647
G4126,90.1806178995445,23.660211881679544
G4010,90.1756238114374,23.664633483097358
G4127,90.18052110185974,23.664722730591706
G3893,90.17072654509121,23.66454408116037
G4128,90.1804242801404,23.669233576505434
G4011,90.17552682208847,23.66914430996715
G3894,90.17062938811634,23.669054888953298
G4012,90.17542980865973,23.67365513383677
G4594,90.20020663077543,23.660567251328327
G4828,90.21000113974544,23.660744009615502
G4711,90.20510387334885,23.660655707685866
G4829,90.2099053476654,23.665254972092136
G4712,90.20500791365895,23.665166651317417
G4595,90.2001105034793,23.66507817608186
G4596,90.20001435231481,23.669589097842007
G4830,90.20980953180012,23.66976593157788
G4713,90.20491193014227,23.669677591956834
G4597,90.19991817727835,23.67410001660829
G4360,90.19041221726431,23.660389875341597
G4243,90.18551504640972,23.660300955718473
G4477,90.19530941206673,23.660478640545893
G4361,90.19031575476657,23.664900762240304
G4478,90.19521311716798,23.66498954638848
G4244,90.18541841631665,23.664811823640374
G4479,90.19511679835932,23.66950044923642
G4245,90.18532176223056,23.6693226885651
G4362,90.19021926831739,23.669411646143104
G4480,90.19502045563713,23.67401134908924
G4129,90.18032743438283,23.673744419420256
G3895,90.17053220702012,23.673565693744784
G4013,90.17533277114755,23.67816595470573
G4130,90.18023056458335,23.678255259335682
G3896,90.17043500179885,23.67807649553434
G4014,90.17523570954825,23.682676772573544
G4131,90.18013367073837,23.68276609625123
G3897,90.1703377724489,23.68258729432149
G4132,90.18003675284416,23.687276930166416
G3898,90.1702405189666,23.687098090105724
G4948,90.21461148528931,23.6743650920112
G5182,90.22440714278696,23.674541036287792
